prop_id,srch_id
76084,27175
92135,165355
73871,225037
26143,112024
45851,286478
104679,229092
140566,30650
63916,100201
92799,268092
20692,9638
66964,186750
33201,258211
49579,118211
120695,19066
11147,131473
114648,122577
117971,64127
89396,247589
99430,250510
34942,265853
86639,253616
52829,152080
31573,37472
85204,170683
101594,209511
50408,319685
45731,226415
98488,121260
77074,265976
15281,72093
112311,5904
39526,81660
12015,157198
69923,67920
79490,84911
5380,305075
135082,94139
76443,331795
130154,103860
47047,71720
55669,37504
47877,83740
25779,63602
44960,236071
103209,145076
4256,89667
126818,326249
40184,324662
43222,306304
89796,327639
1294,315048
120220,21068
128261,101672
57125,41224
89202,22428
7861,257519
50284,132661
70684,202649
81879,318781
40479,301064
45731,54235
85708,99605
97982,295226
123835,93142
80493,167205
70221,197305
13443,175066
44923,275510
74048,136624
32798,130789
103092,279751
5847,327244
126462,295709
39442,84695
68420,6980
90017,226986
15716,265281
35936,224931
107606,238044
10136,134849
96513,77667
69638,292040
101241,104129
96728,200867
64863,330445
131718,309760
8962,302728
54071,105526
39614,107073
22013,98741
7880,304604
85116,174409
21731,220849
62328,308251
21198,227812
78497,15725
38835,44927
126620,286248
35158,71015
25599,286205
67084,269346
98259,287555
98769,65252
75778,323017
105804,302325
22180,247101
64274,71566
23254,210840
35115,105692
66528,58860
61720,83468
109346,77434
60880,79401
57600,185296
108651,223965
140809,280985
138259,65179
41088,166598
15808,190906
75795,54102
8898,226219
135247,233544
60772,92881
120872,231020
68364,305374
133042,99875
22160,87089
69649,69207
138282,327305
107126,284323
73948,5592
7812,15073
959,176199
44060,152904
118722,306546
98470,100194
56796,21524
31150,94064
130706,20518
107235,13224
5138,240925
124778,121692
58733,292674
82665,122176
22308,275902
96715,252674
67617,36604
39004,17074
56163,281851
13580,186790
122621,21656
68420,316916
27142,84979
80605,173717
5961,129864
37171,195
19748,110830
29163,13936
75291,154532
60207,252592
57469,73449
35479,300879
93378,285623
3711,1608
36099,81284
131697,48743
125792,196776
132998,208745
115874,262405
114420,263951
112345,74008
35223,208194
40974,156649
82620,241325
62740,324843
94554,223759
100892,95937
97878,176623
116176,8941
58508,186028
104259,32740
76302,158696
89672,22746
46501,164013
103353,81935
106672,149487
95628,303643
68317,318361
90472,155673
52819,189724
41278,41106
88553,24623
4398,8723
13600,204165
75576,118655
19157,18579
121696,305599
36010,302065
49295,248553
131978,238575
112246,26573
137937,30867
94313,77292
61745,133513
48625,259058
112828,290248
83634,229009
13508,10822
18716,184485
72189,183797
93741,74673
9545,42997
104293,327520
57125,92032
52330,231731
93819,238119
125898,177762
3628,229985
136025,59402
91464,304132
7997,115385
63894,138235
96565,50974
133848,176833
12495,134645
73361,41181
77465,207461
126657,201234
42547,197562
18287,105281
91734,9295
8650,28540
3064,207641
63443,12056
13120,44771
81460,138683
64513,94278
63105,25004
97416,190373
57114,219822
134288,92032
80863,138964
80400,44532
15650,189256
91102,113932
74211,53467
118112,64114
46743,173482
71039,319792
20633,231500
127495,268833
9665,177226
42202,163598
72459,83825
4780,53372
39789,73861
137095,250868
68795,121812
139428,24656
1833,53533
63632,108720
11302,155584
54116,153351
93045,165909
138313,75871
18569,240735
128724,201589
110565,205065
15115,148393
104364,70320
39152,138194
41278,98844
72987,272525
63852,4047
104156,173193
55945,307378
4570,298765
71438,235264
75353,163365
8241,299553
109804,111766
135096,272630
87788,53791
39131,247541
80045,322083
1162,7859
24545,85758
95182,24884
88081,220468
130658,310541
16029,47802
39764,266876
88634,99948
132122,5269
95519,128838
115123,118195
31149,305484
114825,48424
22476,90541
56691,63038
126011,85588
33553,12754
97590,12329
127959,57173
128672,318102
120763,97213
65671,165779
34782,59966
88613,190420
1833,94466
44857,27500
51178,160034
53246,212737
40600,220632
68002,119359
70683,158899
46899,310967
78621,57262
130349,209264
95215,278807
71135,24749
10841,100020
106919,122728
125992,196319
5739,163391
84413,34499
41066,74816
28078,209284
49905,263627
13293,216016
43261,266168
66697,31493
28333,1272
104956,110258
131892,181818
7349,64637
78739,302786
19210,59711
85141,298288
81571,74591
133425,83283
107596,272394
100149,232485
52234,16436
44375,218606
75952,53275
51,160454
60003,56043
3314,319145
31730,38122
46666,12800
27002,168220
135423,4129
110202,241445
80869,278851
13992,8409
122427,187983
41366,160051
115286,295365
58005,269540
101096,107
98577,316231
54795,258114
78497,283606
83870,270735
8409,89070
11244,307370
9545,308361
10107,321685
137991,251076
64446,85557
41279,92766
44045,61623
32358,210320
60725,265809
23751,293265
68936,212958
108320,79073
2800,47666
6435,244318
34020,261092
102234,9947
28908,18818
28726,212163
14808,169074
51133,222760
108213,140069
96916,184674
63934,310645
19898,26680
59645,69870
22285,36717
124046,126659
131880,101136
121275,65940
108827,199291
66430,110727
83343,137433
28444,288098
114847,8246
91330,233403
47836,128802
27867,285518
73560,258682
116747,34360
130594,293360
69092,191986
121053,261410
45705,164329
140484,264755
41326,263991
67491,33915
59204,267029
118928,230132
57978,316722
128090,191684
89300,301520
113035,176261
46691,104570
2194,201899
114353,129151
12325,181417
3065,150552
98730,44291
80009,209987
20015,302193
105031,96566
106018,262988
108094,149029
123201,204912
41740,278665
123948,161299
9987,87024
60333,278227
120825,308108
67545,296497
40974,109057
41573,169
125881,153576
121588,107150
84271,113748
73077,199661
42998,153440
21386,189489
76384,140643
3632,121256
140130,125680
107973,226462
40279,101569
2330,296236
38,159220
96442,109553
69327,129701
8791,6784
87652,20606
101621,93573
49803,300961
133324,274005
118614,266987
55053,169324
67250,256080
137083,272590
138962,172226
73855,188585
105779,79937
17159,168387
92653,264336
11524,109498
20592,122377
119368,278047
116206,256157
77795,261161
112502,278254
125053,256155
90770,293424
125611,66273
21281,59301
42171,39360
110879,61715
53889,251603
116859,224325
112073,142704
13134,156222
38947,4887
99063,10914
32880,243095
67428,92185
31135,136990
5159,90300
93726,21579
39442,301087
34450,144805
42225,76582
89678,141167
71699,273839
33326,33171
121049,241074
24079,292208
127808,22049
62726,197172
79958,101077
108570,191195
102345,223405
76830,18408
129565,220560
117218,179100
78725,15103
59781,25669
86189,250570
111416,83964
12518,243994
42875,46820
103872,102626
76587,289239
83507,220436
126893,271018
96338,154171
78578,108079
76167,148081
135332,201891
103757,239404
20587,1147
51760,63498
23212,329364
83145,141922
63962,90995
16649,222808
92908,89511
72262,4528
86928,25852
136159,272802
119049,199972
117463,103363
98784,319182
81862,321918
132592,325503
107744,245454
115970,108948
35502,311910
162,18369
128587,24948
94465,290271
3005,28178
120758,141059
47912,281482
81963,287038
99931,291996
69031,61444
59657,190370
131379,238389
87127,77052
63848,113448
93129,299463
122869,134696
39292,72007
55701,231810
78474,213080
8909,77410
116424,284605
80516,219612
119207,62251
82078,211380
134833,274419
6422,9254
11331,53074
60962,274801
72900,14247
134200,302078
34031,209932
89688,71353
61011,24862
45188,46629
62284,75258
101653,284337
114932,92936
32948,99746
789,7344
100547,155228
108589,34257
70591,87611
119306,250197
47556,85976
3704,12606
138628,239089
5909,296966
47595,117266
5439,213877
118188,328713
2922,293230
76288,180047
45242,161236
78400,24411
4829,175882
4867,93353
35010,73803
113806,17914
139866,193296
3583,257553
68308,27826
18420,34642
68184,111977
133311,251259
12345,101363
103935,134744
88377,192513
118661,332134
65623,51869
44484,241149
61594,280860
25016,143087
40199,120780
29626,30755
122871,207060
128154,136320
4988,127590
40871,168012
128660,79716
42087,224216
8150,208229
25764,205712
106019,104177
94897,239738
11473,298767
3709,178714
120539,310142
12641,299209
38537,177210
99147,175356
77995,8701
40978,104204
41573,191309
139917,29998
78574,147936
93734,283986
56562,161169
137359,145684
22297,272871
43709,281386
59098,24574
63374,240789
36952,189192
16899,72903
125378,31476
16499,187033
106660,155873
78618,164735
127850,267047
11519,311845
38161,181111
40491,31476
80800,156405
108069,222667
71739,310363
69837,171129
71987,54428
77247,142001
90730,99656
105675,260414
73851,31852
48530,153827
16589,41635
78360,72403
12587,104628
22434,137569
14466,253964
63494,192731
38419,76948
39470,179288
115622,216210
42226,96243
29633,24742
24978,316111
96926,29698
139492,221404
95300,70800
60240,293791
35193,97201
102466,132424
35386,88608
109534,160607
34009,328861
50016,88470
137359,103438
125311,327674
37798,128613
69607,221701
57952,57676
26357,45086
37818,164570
94586,86111
134421,272888
22300,123628
71069,18608
52933,133721
86858,316244
121675,82788
89808,95830
82210,324546
26712,7701
89410,35664
82910,81491
20406,247564
132577,104951
116942,171349
109958,45086
90204,177898
85576,251615
52111,89335
121115,126975
43263,328613
48407,84436
128048,72546
34241,326187
12651,324424
118188,241937
118588,268731
48364,138027
90015,134428
99889,291285
21398,195719
99735,41762
36952,199537
70803,105245
89667,294632
23720,57626
23436,198643
51371,311808
44020,69872
140640,310521
6254,316480
59374,152073
56367,12159
83465,101699
15941,314006
21198,26378
110320,219934
53341,256831
93502,15046
81780,30793
109160,166547
125337,233376
25980,187003
9434,79513
127924,315710
126798,249603
104634,20427
46569,183109
87326,30610
128682,314652
101111,81490
16499,291953
79209,152587
22859,133041
15869,38683
114663,50145
90238,201141
134971,119576
76398,205597
120968,318214
60170,294238
114557,141297
24440,223103
57109,329817
101392,326772
123667,207756
128036,174091
111368,226185
139165,266517
110636,289988
20659,145921
101103,69213
31962,260632
5407,171440
140264,327949
140723,50207
86583,61089
63064,215490
112479,299604
40441,117420
57802,284646
137139,32100
23072,193228
80046,152528
99125,184296
129488,227160
105062,31739
138371,233263
33439,49021
45966,138676
78500,225844
19233,145390
24092,214390
111537,9808
96554,178966
65460,200087
94381,271737
113768,293712
70750,202428
2771,120254
30451,250036
64949,196372
14260,167454
35223,38807
136880,122821
55925,63334
134909,233423
26739,200507
41368,89860
78838,50997
83979,195826
101164,203849
138040,267111
136259,317304
106275,268587
60949,295225
73620,271128
55300,150338
62894,188906
32740,2631
94632,251533
110642,209356
118153,214544
114204,252840
85333,174615
24157,50331
59809,212489
92526,265292
29643,93813
755,240358
133509,14454
94751,52173
71636,322499
118822,163788
123948,259508
135774,65438
49368,276013
66608,139983
83840,250996
30304,257258
132229,220884
69558,165299
103862,100739
102529,180960
34677,122662
91482,146289
59780,314181
9987,191427
139893,331478
71220,206016
56965,27186
73307,224603
38758,1716
36441,261208
20817,199152
113035,127645
52279,11289
119631,157522
93872,17027
112817,97227
29856,159060
116747,16913
20494,181866
122757,68751
71558,79713
24437,110598
71658,698
42000,136701
27828,276503
98719,305542
21433,218666
48366,7365
82892,192487
140761,308309
98107,130141
119322,74475
32363,255245
110940,274010
109576,144501
12231,119635
6031,56071
133504,109384
102344,124254
16687,265067
10805,97785
118881,243270
59781,4962
133451,320101
28818,57700
36822,71293
25665,169947
115544,172943
62404,36208
4304,127497
74086,295741
27302,106425
12169,116737
73320,318680
36569,104715
75955,128240
25168,61696
75573,184433
125409,172854
95512,46550
43535,231247
134877,316053
30325,322819
10583,242954
116077,68214
15390,218475
80638,178029
62131,73701
86447,287603
79737,2452
98719,258553
74461,219683
127548,7354
50638,15173
122761,308894
23256,11855
10214,86503
31286,234892
77964,208573
109446,164165
19585,164823
98259,256060
134845,186031
65602,43557
101317,99361
