prop_id,srch_id,category
21198,26378,0.17246947
37798,128613,0.19324782
114250,133735,0.00081929564
28908,18818,0.32262218
77995,8701,0.21637884
71039,319792,0.3904842
27828,276503,0.10101953
41066,74816,0.34569559
137083,272590,0.28471646
129488,227160,0.1464091
71699,273839,0.26952058
48407,84436,0.18136448
56796,21524,0.45859817
11302,155584,0.38021812
113035,176261,0.30104136
93741,74673,0.4160531
79209,152587,0.16426095
87326,30610,0.16517222
43261,266168,0.34327778
78739,302786,0.3418364
76398,205597,0.16095471
1833,94466,0.35288894
49368,276013,0.12145284
103872,102626,0.26117504
36952,199537,0.17833015
89202,22428,0.53951335
140130,125680,0.2915352
112345,74008,0.4379501
128090,191684,0.30252108
39004,17074,0.45008206
60170,294238,0.16036266
24157,50331,0.1258905
95763,149428,0.057591945
92135,165355,0.7652655
52279,11289,0.10769954
86583,61089,0.152257
23256,11855,0.064620346
118188,241937,0.18026805
101621,93573,0.287845
118588,268731,0.18002987
4780,53372,0.38808316
124635,280098,0.043110102
98107,130141,0.09568006
104259,32740,0.4303528
134154,100052,2.9802322e-07
9665,177226,0.38881403
130349,209264,0.34988064
35936,224931,0.50752556
62404,36208,0.08328766
5847,327244,0.5126924
20406,247564,0.18388417
74048,136624,0.51550245
50284,132661,0.5341761
135247,233544,0.47163045
133451,320101,0.08545557
101096,107,0.33475652
38161,181111,0.20852694
39292,72007,0.24531269
75952,53275,0.33859304
68184,111977,0.22886887
101728,44414,0.053022057
31135,136990,0.27153373
132122,5269,0.36287796
35479,300879,0.4442606
29633,24742,0.19708976
37171,195,0.44670707
1162,7859,0.36921147
116747,16913,0.10569182
13992,8409,0.33577898
103757,239404,0.25822657
103862,100739,0.116787344
16649,222808,0.2557835
107973,226462,0.29135394
69370,218179,0.049134314
83840,250996,0.1187028
112502,278254,0.27911687
119049,199972,0.25354767
127808,22049,0.26774952
22476,90541,0.35858762
121053,261410,0.3071264
120695,19066,0.64451176
42171,39360,0.27728933
3065,150552,0.29959503
63962,90995,0.25609344
117218,179100,0.2636068
78474,213080,0.24435535
131875,134924,0.050206125
54247,154528,0.055259854
49579,118211,0.6473493
